trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 1.0, 'e': 0.5}",20,1,-23.292524950334474,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 1.0, 'e': 0.47502081252106}",20,0,-21.38264590114268,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 1.0, 'e': 0.45016600268752205}",25,0,-25.96285832139295,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 1.0, 'e': 0.4255574831883409}",25,0,-33.57101322009114,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 1.0, 'e': 0.40131233988754794}",20,0,-22.23749074851312,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 1.0, 'e': 0.3775406687981453}",30,0,-33.10619567522598,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 1.0, 'e': 0.35434369377420444}",25,4,-12.234535633138936,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 1.0, 'e': 0.3318122278318338}",20,0,-80.31233324883249,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
134,False,"{'a': 1.0, 'e': 0.3100255188723874}",20,8,8.680042771781885,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 1.0, 'e': 0.2890504973749959}",20,6,6.458003381171647,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 1.0, 'e': 0.268941421369995}",20,14,8.80155559084383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 1.0, 'e': 0.24973989440488223}",20,0,14.07219980066948,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 1.0, 'e': 0.23147521650098218}",35,8,11.754079794380397,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 1.0, 'e': 0.21416501695744122}",25,0,-4.966154760652015,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 1.0, 'e': 0.19781611144141809}",20,11,-67.0985864539387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
141,False,"{'a': 1.0, 'e': 0.18242552380635615}",20,12,0.08573417437839947,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 1.0, 'e': 0.1679816148660757}",20,3,14.274663945228438,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 1.0, 'e': 0.15446526508353486}",20,3,-22.18549528532266,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 1.0, 'e': 0.14185106490048793}",20,0,-9.067012226026101,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 1.0, 'e': 0.13010847436299797}",25,17,-23.73415540987304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 1.0, 'e': 0.11920292202211766}",20,13,16.62372759286205,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 1.0, 'e': 0.10909682119561302}",20,10,18.37550258016984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 1.0, 'e': 0.09975048911968522}",25,11,21.13284040894922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 1.0, 'e': 0.0911229610148562}",20,6,18.046328649551505,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1.0, 'e': 0.08317269649392242}",20,13,11.967474267719485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 1.0, 'e': 0.07585818002124359}",20,0,26.742502317994276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 1.0, 'e': 0.06913842034334684}",20,0,29.57718136345761,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 1.0, 'e': 0.06297335605699651}",20,0,29.295549079847564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 1.0, 'e': 0.05732417589886876}",20,14,5.865348653677048,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
